Date,Person,Restaurant,Source,Rating,Notes
,Aaron,Firehouse,DoorDash,3,
,Aaron,BIBIBOP,DoorDash,4,
,Aaron,Chick-Fil-A,DoorDash,3.5,
,Aaron,Chipotle,DoorDash,2.5,
,Aaron,Five Guys,DoorDash,4,
,Aaron,Flyers,DoorDash,4,
,Aaron,Los Guachos,DoorDash,3.5,
,Aaron,El Vaquero (Powell Location),DoorDash,4.5,
,Aaron,Steak and Shake,DoorDash,3,
,Andrew,Panda Express,DoorDash,4,
,Andrew,BIBIBOP,DoorDash,5,
,Andrew,Chick-Fil-A,DoorDash,2,
,Andrew,Chipotle,DoorDash,1.5,
,Andrew,Five Guys,DoorDash,4,
,Andrew,bb.q,DoorDash,4.5,
,Andrew,Noodles,DoorDash,3.5,
,Andrew,Flyers,DoorDash,4.5,
,Andrew,Prestons,DoorDash,2.5,
,Andrew,Popeyes,DoorDash,3.5,
,Andrew,Café China,DoorDash,2.5,
,Andrew,Hoagie City,DoorDash,2,
,Andrew,Taco Bell,DoorDash,3,
,Andrew,Swenson's,DoorDash,4.5,
,Andrew,Bawarchi,DoorDash,5,
,Andrew,Ana Shawarma,DoorDash,4.5,
,Andrew,Steak and Shake,DoorDash,2,
,Andrew,Sesame Sea Asian,DoorDash,2,
,Andrew,Skyline Chili,DoorDash,5,
,Ben,Firehouse,DoorDash,2.5,
,Ben,Potbelly,DoorDash,4.5,
,Ben,Panda Express,DoorDash,3,
,Ben,BIBIBOP,DoorDash,5,
,Ben,Chick-Fil-A,DoorDash,1,
,Ben,Chipotle,DoorDash,3.5,
,Ben,Five Guys,DoorDash,4,
,Ben,bb.q,DoorDash,3.5,
,Ben,Noodles,DoorDash,3,
,Ben,Flyers,DoorDash,4.5,
,Ben,Los Guachos,DoorDash,4.5,
,Ben,Prestons,DoorDash,2,
,Ben,Popeyes,DoorDash,2.5,
,Ben,Café China,DoorDash,3.5,
,Ben,Hoagie City,DoorDash,1.5,
,Ben,Taco Bell,DoorDash,3,
,Ben,Swenson's,DoorDash,3.5,
,Ben,El Vaquero (Powell Location),DoorDash,5,
,Ben,Greek Express,DoorDash,3.5,
,Ben,Anne's Kitchen,DoorDash,3.5,
,Ben,Bawarchi,DoorDash,5,
,Ben,Ana Shawarma,DoorDash,4,
,Ben,Santiago Supermarket,DoorDash,2,
,Ben,Agape,DoorDash,4,
,Ben,Sesame Sea Asian,DoorDash,2,
,Ben,Pita Hut N Grill,DoorDash,3.5,
,Ben,Xi Xia,DoorDash,3.5,
,Gaber,Firehouse,DoorDash,3.5,
,Gaber,Potbelly,DoorDash,3.5,
,Gaber,BIBIBOP,DoorDash,4,
,Gaber,Chick-Fil-A,DoorDash,2.5,
,Gaber,bb.q,DoorDash,4,
,Gaber,Noodles,DoorDash,1,
,Gaber,Los Guachos,DoorDash,4,
,Gaber,Prestons,DoorDash,3,
,Gaber,Popeyes,DoorDash,3,
,Gaber,Hoagie City,DoorDash,3,
,Gaber,Taco Bell,DoorDash,3,
,Gaber,Swenson's,DoorDash,3.5,
,Gaber,El Vaquero (Powell Location),DoorDash,5,
,Gaber,Greek Express,DoorDash,2.5,
,Gaber,Anne's Kitchen,DoorDash,2.5,
,Gaber,Bawarchi,DoorDash,5,
,Gaber,Ana Shawarma,DoorDash,3.5,
,Gaber,Steak and Shake,DoorDash,3,
,Gaber,Santiago Supermarket,DoorDash,3.5,
,Gaber,Agape,DoorDash,3.5,
,Gaber,Sesame Sea Asian,DoorDash,2,
,Gaber,Pita Hut N Grill,DoorDash,3.5,
,Jake,Potbelly,DoorDash,3,
,Jake,BIBIBOP,DoorDash,4.5,
,Jake,Chick-Fil-A,DoorDash,5,
,Jake,Five Guys,DoorDash,4,
,Jake,Noodles,DoorDash,0,
,Jake,Flyers,DoorDash,4.5,
,Jake,Popeyes,DoorDash,3.5,
,Jake,Café China,DoorDash,3.5,
,Jake,Hoagie City,DoorDash,3,
,Jake,Taco Bell,DoorDash,3.5,
,Jake,Swenson's,DoorDash,4,
,Jake,El Vaquero (Powell Location),DoorDash,4,
,Jake,Greek Express,DoorDash,4,
,Jake,Anne's Kitchen,DoorDash,2.5,
,Jake,Steak and Shake,DoorDash,3,
,Jake,Agape,DoorDash,4,
,Jake,Sesame Sea Asian,DoorDash,2,
,Jake,Xi Xia,DoorDash,2,
,Jake,Skyline Chili,DoorDash,4,
,Jeff,bb.q,DoorDash,4,
,Jeff,Noodles,DoorDash,1.5,
,Joey,El Vaquero (Powell Location),DoorDash,4,
,Joey,Xi Xia,DoorDash,3.5,
,Joey,Skyline Chili,DoorDash,4,
,John,Firehouse,DoorDash,3,
,John,Potbelly,DoorDash,4,
,John,BIBIBOP,DoorDash,5,
,John,Chipotle,DoorDash,3,
,John,Five Guys,DoorDash,4,
,John,Noodles,DoorDash,4,
,John,Flyers,DoorDash,5,
,John,Los Guachos,DoorDash,4,
,John,Prestons,DoorDash,3,
,John,Café China,DoorDash,4,
,John,Anne's Kitchen,DoorDash,3,
,John,Agape,DoorDash,3,
,John,Xi Xia,DoorDash,5,
,John,Skyline Chili,DoorDash,4,
,Mark,Firehouse,DoorDash,3,
,Mark,Panda Express,DoorDash,5,
,Mark,BIBIBOP,DoorDash,4,
,Mark,Chick-Fil-A,DoorDash,2,
,Mark,Chipotle,DoorDash,3,
,Mark,Five Guys,DoorDash,4,
,Mark,bb.q,DoorDash,4,
,Mark,Noodles,DoorDash,3,
,Mark,Los Guachos,DoorDash,4,
,Mark,Prestons,DoorDash,2,
,Mark,Popeyes,DoorDash,4,
,Mark,Café China,DoorDash,4,
,Mark,Hoagie City,DoorDash,2.5,
,Mark,Taco Bell,DoorDash,3.5,
,Mark,Swenson's,DoorDash,4,
,Mark,El Vaquero (Powell Location),DoorDash,4,
,Mark,Greek Express,DoorDash,3,
,Mark,Xi Xia,DoorDash,4.5,
,Mason,Firehouse,DoorDash,2.5,
,Mason,Potbelly,DoorDash,4,
,Mason,Panda Express,DoorDash,5,
,Mason,BIBIBOP,DoorDash,3,
,Mason,Chick-Fil-A,DoorDash,4,
,Mason,Five Guys,DoorDash,4,
,Mason,bb.q,DoorDash,3.5,
,Mason,Noodles,DoorDash,3.5,
,Mason,Swenson's,DoorDash,4.5,
,Mason,El Vaquero (Powell Location),DoorDash,2,
,Mason,Bawarchi,DoorDash,3,
,Mason,Ana Shawarma,DoorDash,2.5,
,Mason,Steak and Shake,DoorDash,4,
,Mason,Santiago Supermarket,DoorDash,3.5,
,Mason,Agape,DoorDash,2.5,
,Mason,Sesame Sea Asian,DoorDash,1.5,
,Mason,Xi Xia,DoorDash,3.5,
,Mason,Skyline Chili,DoorDash,3.5,
,Moe,Firehouse,DoorDash,3.5,
,Moe,Potbelly,DoorDash,4,
,Moe,Panda Express,DoorDash,3,
,Moe,BIBIBOP,DoorDash,2,
,Moe,Los Guachos,DoorDash,4,
,Moe,Popeyes,DoorDash,3.5,
,Moe,El Vaquero (Powell Location),DoorDash,4,
,Moe,Greek Express,DoorDash,2.5,
,Moe,Ana Shawarma,DoorDash,3.5,
,Moe,Santiago Supermarket,DoorDash,3,
,Moe,Agape,DoorDash,3.5,
,Nick P,Firehouse,DoorDash,3,
,Nick P,Potbelly,DoorDash,3,
,Nick P,Panda Express,DoorDash,5,
,Nick P,BIBIBOP,DoorDash,5,
,Nick P,Chick-Fil-A,DoorDash,3.5,
,Nick P,Chipotle,DoorDash,3.5,
,Nick P,Five Guys,DoorDash,5,
,Nick P,bb.q,DoorDash,4.5,
,Nick P,Noodles,DoorDash,0.5,
,Nick P,Flyers,DoorDash,3,
,Nick P,Popeyes,DoorDash,0,
,Nick P,Café China,DoorDash,3,
,Nick P,Hoagie City,DoorDash,2.5,
,Nick P,Swenson's,DoorDash,4,
,Nick P,El Vaquero (Powell Location),DoorDash,4,
,Nick P,Greek Express,DoorDash,3.5,
,Nick P,Anne's Kitchen,DoorDash,3.5,
