Name,Average Rating,Relish Rating,DD Rating
Agape,3.50,--,3.50
Ana Shawarma,3.79,--,3.79
Anne's Kitchen,3.00,--,3.00
Bawarchi,4.50,--,4.50
bb.q,4.00,--,4.00
BIBIBOP,3.95,3.61,4.19
Brenz Pizza Co,4.30,4.30,--
Bubbakoo's Burritos,1.50,1.50,--
Café China,3.43,--,3.43
Casa Mezcal,2.69,2.69,--
Chick-Fil-A,3.06,--,3.06
Chile Verde,3.13,3.13,--
Chipotle,2.93,--,2.93
Chocolate Café,2.13,2.13,--
City Egg,2.67,2.67,--
El Vaquero (Powell Location),4.14,--,4.14
Everbowl,3.25,3.25,--
Firehouse,3.03,2.92,3.11
Five Guys,4.13,--,4.13
Flyers,4.21,--,4.21
FUSIAN,2.00,2.00,--
Fukuryu Ramen,2.25,2.25,--
Greek Express,3.14,--,3.14
Hoagie City,2.42,--,2.42
IrieJam Island Grill,4.28,4.28,--
Lorenzo's Grill,2.00,2.00,--
Los Guachos,4.00,--,4.00
Noodles,2.30,--,2.30
Panda Express,4.17,--,4.17
Parlay Sporting Club,0.79,0.79,--
Piada,4.00,--,4.00
Pita Hut N Grill,3.50,--,3.50
Playa Bowls,3.10,3.10,--
Popeyes,2.88,--,2.88
Potbelly,3.75,--,3.75
ReBOL,4.00,--,4.00
Prestons,2.50,--,2.50
Red Chili Ramen,3.40,3.40,--
Romeo's,3.42,3.42,--
Roots,2.58,2.58,--
Santiago Supermarket,3.10,--,3.10
Sesame Sea Asian,1.92,--,1.92
Skyline Chili,3.07,--,3.07
Steak and Shake,3.00,--,3.00
Swenson's,4.00,--,4.00
Taco Bell,3.17,--,3.17
Teriyaki Madness,2.79,2.79,--
Xi Xia,3.64,--,3.64
Yats Cajun,3.00,3.00,--
Zoup!,2.50,2.50,--
